groups,x,pos,lab
0.02,6.5,+,1
0.025,5.6,+,1
0.032,6.2,+,1
0.04,4.5,+,1
0.05,3.9,+,1
0.063,3.8,+,1
0.079,4.1,+,1
0.1,3.6,+,1
0.126,3.9,+,1
0.158,3.9,+,1
0.199,3.9,+,1
0.251,3.8,+,1
0.316,3.4,+,1
0.397,3.4,+,1
0.5,3.3,+,1
0.02,8.5,-,2
0.025,7.8,-,2
0.032,7.5,-,2
0.04,7.15,-,2
0.05,6.8,-,2
0.063,6.3,-,2
0.079,6,-,2
0.1,5.65,-,2
0.126,5.45,-,2
0.158,4.9,-,2
0.199,4.65,-,2
0.251,4.35,-,2
0.316,4.05,-,2
0.397,3.75,-,2
0.5,3.6,-,2
0.02,11.911,-,3
0.025,11.432,-,3
0.032,10.8845,-,3
0.04,10.474,-,3
0.05,10.2005,-,3
0.063,9.9275,-,3
0.079,9.5855,-,3
0.1,9.3125,-,3
0.126,8.902,-,3
0.158,8.355,-,3
0.199,8.0135,-,3
0.251,7.672,-,3
0.316,7.399,-,3
0.397,6.9885,-,3
0.5,6.715,-,3
0.02,16.4,-,4
0.025,16.1,-,4
0.032,15.6,-,4
0.04,15.3,-,4
0.05,14.7,-,4
0.063,14.3,-,4
0.079,13.9,-,4
0.1,13.45,-,4
0.126,12.95,-,4
0.158,12.55,-,4
0.199,12.15,-,4
0.251,11.65,-,4
0.316,11.3,-,4
0.397,10.7,-,4
0.5,10.1,-,4
