well_id,sample_id,time_h,metabolite_type,sample_type,standard_concentration_mmol_l,sample_dilution,well_volume_mul
Sample X1,G1,7.0283,acetate,sample,NA,0.02,100
Sample X2,M,0,acetate,sample,NA,1,100
Sample X3,1,0.7942,acetate,sample,NA,1,100
Sample X4,2,1.5883,acetate,sample,NA,1,100
Sample X5,3,2.3967,acetate,sample,NA,1,100
Sample X6,4,2.9181,acetate,sample,NA,1,100
Sample X7,5,3.4494,acetate,sample,NA,1,100
Sample X8,6,3.9814,acetate,sample,NA,1,100
Sample X9,7,4.3483,acetate,sample,NA,1,100
Sample X10,8,4.7111,acetate,sample,NA,1,100
Sample X11,9,5.1022,acetate,sample,NA,1,100
Sample X12,G2,7.7139,acetate,sample,NA,0.02,100
Sample X13,G3,8.6233,acetate,sample,NA,1,100
Sample X14,10,5.6311,acetate,sample,NA,0.1,100
Sample X15,11,6.2428,acetate,sample,NA,0.1,100
Sample X16,12,6.8003,acetate,sample,NA,0.02,100
Sample X17,13,7.3806,acetate,sample,NA,0.02,100
Sample X18,14,7.9211,acetate,sample,NA,0.02,100
Sample X19,15,8.4494,acetate,sample,NA,0.1,100
Sample X20,16,9.0225,acetate,sample,NA,1,100
Sample X21,17,9.4975,acetate,sample,NA,1,100
Sample X22,18,10.1308,acetate,sample,NA,1,100
Sample X23,19,22.3628,acetate,sample,NA,1,100
Sample X24,G4,9.7031,acetate,sample,NA,1,100
Standard S1,S1,NA,acetate,standard,0,NA,100
Standard S2,S2,NA,acetate,standard,0.01,NA,100
Standard S3,S3,NA,acetate,standard,0.02,NA,100
Standard S4,S4,NA,acetate,standard,0.04,NA,100
Standard S5,S5,NA,acetate,standard,0.08,NA,100
Standard S6,S6,NA,acetate,standard,0.14,NA,100
Standard S7,S7,NA,acetate,standard,0.2,NA,100
Standard S8,S8,NA,acetate,standard,0.4,NA,100
Standard S9,S9,NA,acetate,standard,0.6,NA,100
